Name,Collection Score,Level,Arena Rank,Donations,Last Login
Surfer,113019,60,4158,191,2020-10-10
ismaellc,111910,65,4945,637,2020-10-10
Piscu,110707,57,1838,75,2020-10-10
xJeLLy,110181,65,3480,671,2020-10-10
Alvaro,110070,62,3393,605,2020-10-10
LittleSabia,109465,64,3234,474,2020-10-10
Hamilkar,105033,64,3305,632,2020-10-10
LUISBTABTZ,105019,61,3008,84,2020-10-10
vittorio972,103037,65,3185,150,2020-10-10
superpapin,103000,61,3053,468,2020-10-10
plate87,102595,64,2552,598,2020-10-10
Pahoehoe,102238,63,2942,538,2020-10-10
Ebanreb,101764,64,3339,35,2020-10-10
lola,101359,61,2790,124,2020-10-10
GhosTrident,99664,64,4039,321,2020-10-10
SurferPaul,98806,60,2464,358,2020-10-10
sandradisney,98762,58,1430,75,2020-10-10
Rojero,97341,59,1968,180,2020-10-10
MaxiBella,97143,65,3213,75,2020-10-10
Saisem,97138,64,3993,809,2020-10-10
Brajamaro,89075,60,1560,459,2020-10-10
Llebea,86957,62,1708,71,2020-10-10
DisneySpain20,83027,59,1469,412,2020-10-10
Robertiox,82694,58,1774,503,2020-10-10
sHiraN,79880,56,2814,526,2020-10-10
ZaguracK,,,,0,2020-10-10
MALSEN,,,,392,2020-10-10
GustavoCG,,,,50,2020-10-10
Greekgeek,,,,303,2020-10-10
Ikaedih,313766,68,3055,556,2020-10-17
Ronik,186042,64,3052,640,2020-10-17
r0ny,170607,66,3060,722,2020-10-17
Loitzune,166643,68,5051,840,2020-10-17
Txutxy,150896,67,4039,728,2020-10-17
Hiros,142777,66,4060,748,2020-10-17
☆Gasphernus☆,142274,66,4021,610,2020-10-17
Bruxen,135661,65,4025,700,2020-10-17
MonitoStrike,133834,65,2995,227,2020-10-17
Fredo,133774,64,4005,643,2020-10-17
Berjilius,132000,65,3033,710,2020-10-17
Huco,130372,66,3072,703,2020-10-17
Aromaz,126000,63,2021,110,2020-10-17
alex87,125920,65,2545,547,2020-10-17
Amérendar,123088,66,3989,444,2020-10-17
Martibrum,121653,64,3043,683,2020-10-17
Palito.inc,119486,64,2499,421,2020-10-17
Tutti,119314,65,3045,703,2020-10-17
Surfer,118564,60,4017,206,2020-10-17
DesmondMiles,118451,65,3038,445,2020-10-17
vanenav86,116290,65,2520,785,2020-10-17
Pandita,116099,63,3007,443,2020-10-17
Piscu,115424,58,2011,105,2020-10-17
LittleSabia,115145,65,3035,500,2020-10-17
ismaellc,114814,65,4996,672,2020-10-17
Alvaro,114412,63,3023,640,2020-10-17
xJeLLy,113392,65,3050,711,2020-10-17
Pahoehoe,109405,64,3013,563,2020-10-17
plate87,108848,64,2520,617,2020-10-17
